week,# of new_confirmed_EVD_cases,county
1,0,Bomi
1,0,Bong
1,3,Gbarpolu
1,0,Grand Bassa
1,5,Grand Cape Mount
1,0,Grand Gedeh
1,0,Grand Kru
1,0,Lofa
1,0,Margibi
1,0,Maryland
1,0,Montserrado
1,0,Nimba
1,0,River Gee
1,0,Rivercess
1,0,Sinoe
2,0,Bomi
2,0,Bong
2,4,Gbarpolu
2,0,Grand Bassa
2,4,Grand Cape Mount
2,0,Grand Gedeh
2,0,Grand Kru
2,0,Lofa
2,0,Margibi
2,0,Maryland
2,1,Montserrado
2,0,Nimba
2,0,River Gee
2,0,Rivercess
2,0,Sinoe
3,1,Bomi
3,0,Bong
3,1,Gbarpolu
3,0,Grand Bassa
3,5,Grand Cape Mount
3,0,Grand Gedeh
3,0,Grand Kru
3,0,Lofa
3,0,Margibi
3,0,Maryland
3,0,Montserrado
3,0,Nimba
3,0,River Gee
3,0,Rivercess
3,0,Sinoe
4,10,Bomi
4,0,Bong
4,2,Gbarpolu
4,0,Grand Bassa
4,4,Grand Cape Mount
4,0,Grand Gedeh
4,0,Grand Kru
4,0,Lofa
4,0,Margibi
4,0,Maryland
4,0,Montserrado
4,0,Nimba
4,0,River Gee
4,0,Rivercess
4,0,Sinoe
5,2,Bomi
5,0,Bong
5,1,Gbarpolu
5,0,Grand Bassa
5,10,Grand Cape Mount
5,0,Grand Gedeh
5,0,Grand Kru
5,0,Lofa
5,0,Margibi
5,0,Maryland
5,0,Montserrado
5,0,Nimba
5,0,River Gee
5,0,Rivercess
5,0,Sinoe
6,4,Bomi
6,0,Bong
6,1,Gbarpolu
6,0,Grand Bassa
6,7,Grand Cape Mount
6,0,Grand Gedeh
6,0,Grand Kru
6,0,Lofa
6,0,Margibi
6,0,Maryland
6,0,Montserrado
6,0,Nimba
6,0,River Gee
6,0,Rivercess
6,0,Sinoe
7,4,Bomi
7,0,Bong
7,1,Gbarpolu
7,0,Grand Bassa
7,17,Grand Cape Mount
7,0,Grand Gedeh
7,0,Grand Kru
7,0,Lofa
7,0,Margibi
7,0,Maryland
7,0,Montserrado
7,0,Nimba
7,0,River Gee
7,0,Rivercess
7,0,Sinoe
8,4,Bomi
8,0,Bong
8,1,Gbarpolu
8,0,Grand Bassa
8,16,Grand Cape Mount
8,0,Grand Gedeh
8,0,Grand Kru
8,0,Lofa
8,0,Margibi
8,0,Maryland
8,0,Montserrado
8,0,Nimba
8,0,River Gee
8,0,Rivercess
8,0,Sinoe
9,7,Bomi
9,0,Bong
9,1,Gbarpolu
9,0,Grand Bassa
9,16,Grand Cape Mount
9,0,Grand Gedeh
9,0,Grand Kru
9,0,Lofa
9,0,Margibi
9,0,Maryland
9,0,Montserrado
9,0,Nimba
9,0,River Gee
9,0,Rivercess
9,0,Sinoe
10,9,Bomi
10,1,Bong
10,0,Gbarpolu
10,0,Grand Bassa
10,17,Grand Cape Mount
10,0,Grand Gedeh
10,0,Grand Kru
10,0,Lofa
10,0,Margibi
10,0,Maryland
10,1,Montserrado
10,0,Nimba
10,0,River Gee
10,0,Rivercess
10,0,Sinoe
11,11,Bomi
11,2,Bong
11,4,Gbarpolu
11,0,Grand Bassa
11,33,Grand Cape Mount
11,0,Grand Gedeh
11,0,Grand Kru
11,0,Lofa
11,0,Margibi
11,0,Maryland
11,0,Montserrado
11,0,Nimba
11,0,River Gee
11,0,Rivercess
11,0,Sinoe
12,9,Bomi
12,3,Bong
12,2,Gbarpolu
12,0,Grand Bassa
12,38,Grand Cape Mount
12,0,Grand Gedeh
12,0,Grand Kru
12,1,Lofa
12,0,Margibi
12,0,Maryland
12,0,Montserrado
12,0,Nimba
12,0,River Gee
12,0,Rivercess
12,0,Sinoe
13,18,Bomi
13,3,Bong
13,7,Gbarpolu
13,0,Grand Bassa
13,31,Grand Cape Mount
13,0,Grand Gedeh
13,0,Grand Kru
13,0,Lofa
13,1,Margibi
13,0,Maryland
13,1,Montserrado
13,0,Nimba
13,0,River Gee
13,0,Rivercess
13,0,Sinoe
14,9,Bomi
14,16,Bong
14,4,Gbarpolu
14,0,Grand Bassa
14,50,Grand Cape Mount
14,0,Grand Gedeh
14,0,Grand Kru
14,0,Lofa
14,4,Margibi
14,0,Maryland
14,0,Montserrado
14,1,Nimba
14,0,River Gee
14,0,Rivercess
14,0,Sinoe
15,12,Bomi
15,18,Bong
15,4,Gbarpolu
15,1,Grand Bassa
15,49,Grand Cape Mount
15,0,Grand Gedeh
15,0,Grand Kru
15,3,Lofa
15,13,Margibi
15,0,Maryland
15,5,Montserrado
15,1,Nimba
15,0,River Gee
15,0,Rivercess
15,0,Sinoe
16,12,Bomi
16,20,Bong
16,3,Gbarpolu
16,0,Grand Bassa
16,47,Grand Cape Mount
16,0,Grand Gedeh
16,0,Grand Kru
